IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.134.3,4,4,0.00,237.18,0.00
172.65.177.116,4,4,0.00,237.86,0.00
104.16.108.197,4,4,0.00,237.92,0.00
104.16.107.170,4,4,0.00,238.07,0.00
172.65.178.80,4,4,0.00,238.22,0.00
104.20.62.95,4,4,0.00,238.36,0.00
104.16.131.84,4,4,0.00,238.39,0.00
104.16.111.25,4,4,0.00,239.14,0.00
172.65.179.157,4,4,0.00,239.55,0.00
104.18.125.81,4,4,0.00,239.60,0.00
104.20.61.74,4,4,0.00,239.76,0.00
172.65.210.159,4,4,0.00,239.94,0.00
104.19.228.40,4,4,0.00,240.07,0.00
104.19.236.19,4,4,0.00,240.53,0.00
104.16.130.38,4,4,0.00,240.97,0.00
172.65.221.215,4,4,0.00,241.22,0.00
172.67.9.74,4,4,0.00,241.82,0.00
104.18.119.117,4,4,0.00,243.24,0.00
104.23.140.78,4,4,0.00,246.89,0.00
172.67.77.192,4,4,0.00,247.56,0.00
172.67.72.132,4,4,0.00,249.02,0.00
172.67.69.139,4,4,0.00,253.10,0.00
172.67.66.32,4,4,0.00,274.41,0.00
104.23.135.7,4,4,0.00,286.30,0.00
172.64.171.225,4,4,0.00,288.76,0.00
172.67.70.129,4,4,0.00,296.76,0.00
172.67.73.78,4,4,0.00,299.49,0.00
104.23.134.192,4,4,0.00,299.64,0.00
172.64.200.214,4,4,0.00,303.18,0.00
172.64.192.101,4,4,0.00,304.41,0.00
172.67.68.90,4,4,0.00,308.47,0.00
172.67.156.218,4,4,0.00,323.74,0.00
172.67.67.85,4,4,0.00,328.13,0.00
172.67.240.95,4,4,0.00,330.35,0.00
172.67.174.120,4,4,0.00,460.73,0.00
172.67.193.181,4,4,0.00,467.15,0.00
172.67.197.72,4,4,0.00,473.30,0.00
172.67.170.214,4,4,0.00,477.35,0.00
104.18.151.254,4,3,0.25,65.55,0.00
104.19.210.8,4,3,0.25,65.74,0.00
104.18.144.202,4,3,0.25,66.42,0.00
104.19.216.107,4,3,0.25,68.15,0.00
104.18.157.195,4,3,0.25,68.51,0.00
104.18.236.98,4,3,0.25,70.51,0.00
104.18.148.122,4,3,0.25,71.87,0.00
104.18.228.113,4,3,0.25,99.23,0.00
162.159.34.13,4,3,0.25,100.92,0.00
104.16.13.235,4,3,0.25,101.24,0.00
104.19.61.252,4,3,0.25,102.45,0.00
104.19.212.3,4,3,0.25,103.67,0.00
104.19.54.12,4,3,0.25,105.01,0.00
104.18.237.5,4,3,0.25,105.21,0.00
104.18.238.247,4,3,0.25,105.55,0.00
104.18.167.46,4,3,0.25,105.60,0.00
104.18.146.23,4,3,0.25,106.49,0.00
104.19.45.42,4,3,0.25,106.54,0.00
104.18.170.76,4,3,0.25,106.71,0.00
104.18.159.44,4,3,0.25,107.47,0.00
104.19.63.47,4,3,0.25,107.97,0.00
104.19.57.168,4,3,0.25,108.10,0.00
104.19.55.124,4,3,0.25,108.92,0.00
104.18.150.217,4,3,0.25,110.68,0.00
104.18.158.111,4,3,0.25,116.07,0.00
104.19.159.150,4,3,0.25,118.34,0.00
104.17.212.154,4,3,0.25,118.37,0.00
104.19.144.119,4,3,0.25,119.15,0.00
104.17.218.72,4,3,0.25,119.22,0.00
104.17.102.37,4,3,0.25,119.33,0.00
104.17.220.83,4,3,0.25,120.17,0.00
104.17.153.90,4,3,0.25,120.18,0.00
104.17.223.52,4,3,0.25,120.27,0.00
104.17.170.2,4,3,0.25,120.59,0.00
104.17.121.232,4,3,0.25,120.85,0.00
104.18.90.133,4,3,0.25,121.19,0.00
104.17.208.167,4,3,0.25,121.28,0.00
104.17.98.251,4,3,0.25,121.35,0.00
104.17.221.9,4,3,0.25,121.49,0.00
104.17.123.106,4,3,0.25,121.62,0.00
104.17.108.7,4,3,0.25,122.03,0.00
172.64.157.160,4,3,0.25,122.22,0.00
104.17.217.99,4,3,0.25,122.52,0.00
104.17.159.229,4,3,0.25,122.52,0.00
104.17.99.85,4,3,0.25,122.59,0.00
104.17.120.17,4,3,0.25,122.75,0.00
104.17.105.89,4,3,0.25,122.93,0.00
104.17.113.251,4,3,0.25,123.18,0.00
104.17.116.240,4,3,0.25,123.32,0.00
104.17.210.219,4,3,0.25,123.39,0.00
104.17.147.135,4,3,0.25,123.42,0.00
104.17.112.26,4,3,0.25,123.43,0.00
104.17.110.150,4,3,0.25,123.50,0.00
104.17.145.189,4,3,0.25,123.53,0.00
104.17.215.252,4,3,0.25,123.76,0.00
104.17.219.114,4,3,0.25,123.84,0.00
104.16.201.123,4,3,0.25,124.24,0.00
104.17.179.9,4,3,0.25,124.45,0.00
104.17.149.38,4,3,0.25,124.74,0.00
104.17.54.116,4,3,0.25,124.86,0.00
104.17.126.163,4,3,0.25,125.03,0.00
104.17.177.6,4,3,0.25,125.12,0.00
104.16.197.42,4,3,0.25,125.19,0.00
104.16.148.197,4,3,0.25,125.19,0.00
104.17.62.242,4,3,0.25,125.36,0.00
104.16.149.24,4,3,0.25,126.09,0.00
104.16.154.175,4,3,0.25,126.80,0.00
104.17.117.250,4,3,0.25,127.94,0.00
104.18.184.184,4,3,0.25,136.38,0.00
104.18.181.109,4,3,0.25,140.09,0.00
104.18.161.178,4,3,0.25,140.46,0.00
104.18.164.160,4,3,0.25,151.42,0.00
104.16.32.170,4,3,0.25,160.84,0.00
104.16.53.26,4,3,0.25,162.12,0.00
104.16.46.195,4,3,0.25,162.37,0.00
172.67.64.100,4,3,0.25,163.27,0.00
104.16.42.184,4,3,0.25,163.58,0.00
104.21.29.99,4,3,0.25,163.72,0.00
172.65.43.173,4,3,0.25,163.99,0.00
104.18.19.158,4,3,0.25,164.24,0.00
172.65.39.211,4,3,0.25,165.25,0.00
104.21.30.125,4,3,0.25,165.34,0.00
104.17.254.30,4,3,0.25,165.51,0.00
172.65.46.243,4,3,0.25,165.61,0.00
172.67.65.230,4,3,0.25,165.74,0.00
104.17.235.179,4,3,0.25,165.85,0.00
104.16.33.184,4,3,0.25,165.93,0.00
104.16.34.147,4,3,0.25,166.06,0.00
104.22.54.78,4,3,0.25,166.59,0.00
104.17.226.89,4,3,0.25,166.77,0.00
104.17.244.30,4,3,0.25,166.87,0.00
104.17.253.240,4,3,0.25,166.89,0.00
104.17.248.121,4,3,0.25,167.29,0.00
104.19.166.39,4,3,0.25,167.29,0.00
104.18.1.240,4,3,0.25,167.35,0.00
172.65.47.98,4,3,0.25,167.59,0.00
104.17.229.240,4,3,0.25,167.61,0.00
104.18.3.183,4,3,0.25,168.14,0.00
104.17.245.240,4,3,0.25,168.29,0.00
104.17.241.170,4,3,0.25,168.52,0.00
104.18.183.107,4,3,0.25,168.80,0.00
104.19.170.33,4,3,0.25,169.34,0.00
104.16.49.36,4,3,0.25,169.53,0.00
104.17.252.8,4,3,0.25,169.64,0.00
172.65.45.188,4,3,0.25,169.76,0.00
104.17.243.150,4,3,0.25,169.86,0.00
172.65.44.88,4,3,0.25,169.97,0.00
104.17.236.25,4,3,0.25,169.98,0.00
104.17.246.48,4,3,0.25,170.00,0.00
104.21.21.76,4,3,0.25,170.17,0.00
172.65.40.23,4,3,0.25,170.17,0.00
104.19.168.148,4,3,0.25,170.64,0.00
104.21.225.186,4,3,0.25,170.74,0.00
104.17.242.208,4,3,0.25,170.91,0.00
104.17.233.50,4,3,0.25,170.91,0.00
104.16.40.42,4,3,0.25,171.00,0.00
104.21.28.237,4,3,0.25,171.15,0.00
104.18.5.33,4,3,0.25,171.17,0.00
104.21.18.137,4,3,0.25,171.34,0.00
104.17.255.131,4,3,0.25,171.42,0.00
104.17.240.172,4,3,0.25,171.42,0.00
104.16.50.63,4,3,0.25,171.55,0.00
104.18.8.26,4,3,0.25,171.62,0.00
104.17.239.175,4,3,0.25,171.64,0.00
104.17.238.130,4,3,0.25,171.75,0.00
104.21.235.67,4,3,0.25,171.77,0.00
104.21.239.250,4,3,0.25,171.80,0.00
104.21.229.193,4,3,0.25,172.40,0.00
104.18.9.200,4,3,0.25,172.41,0.00
104.18.26.152,4,3,0.25,172.69,0.00
104.17.227.205,4,3,0.25,173.05,0.00
104.21.19.137,4,3,0.25,173.28,0.00
104.24.210.96,4,3,0.25,173.41,0.00
104.20.119.54,4,3,0.25,173.42,0.00
104.20.245.130,4,3,0.25,173.63,0.00
104.19.117.92,4,3,0.25,173.81,0.00
104.18.191.118,4,3,0.25,173.82,0.00
104.20.24.102,4,3,0.25,174.13,0.00
172.67.39.243,4,3,0.25,174.29,0.00
104.18.12.186,4,3,0.25,174.55,0.00
104.17.237.244,4,3,0.25,174.59,0.00
104.17.230.238,4,3,0.25,174.86,0.00
104.18.7.18,4,3,0.25,174.95,0.00
104.17.228.90,4,3,0.25,175.01,0.00
172.66.213.39,4,3,0.25,175.01,0.00
104.24.25.52,4,3,0.25,175.24,0.00
104.20.243.159,4,3,0.25,175.31,0.00
104.17.224.233,4,3,0.25,175.34,0.00
104.17.234.118,4,3,0.25,175.36,0.00
104.25.164.139,4,3,0.25,175.39,0.00
104.24.173.201,4,3,0.25,175.39,0.00
104.19.67.209,4,3,0.25,175.46,0.00
104.24.206.198,4,3,0.25,175.48,0.00
172.65.52.30,4,3,0.25,175.53,0.00
172.65.59.156,4,3,0.25,175.57,0.00
104.24.41.228,4,3,0.25,175.68,0.00
104.23.109.50,4,3,0.25,175.82,0.00
104.20.206.8,4,3,0.25,175.96,0.00
104.19.64.185,4,3,0.25,175.97,0.00
104.20.98.166,4,3,0.25,176.06,0.00
104.17.232.99,4,3,0.25,176.21,0.00
104.20.30.149,4,3,0.25,176.26,0.00
172.67.50.148,4,3,0.25,176.28,0.00
104.27.1.203,4,3,0.25,176.42,0.00
104.20.18.115,4,3,0.25,176.56,0.00
104.20.37.115,4,3,0.25,176.66,0.00
172.65.10.132,4,3,0.25,176.69,0.00
104.19.88.202,4,3,0.25,176.71,0.00
104.20.193.232,4,3,0.25,176.80,0.00
104.27.66.213,4,3,0.25,176.81,0.00
172.65.132.111,4,3,0.25,176.82,0.00
104.25.79.69,4,3,0.25,176.82,0.00
104.20.111.38,4,3,0.25,176.90,0.00
172.65.135.225,4,3,0.25,176.99,0.00
104.20.189.224,4,3,0.25,177.18,0.00
104.21.31.106,4,3,0.25,177.21,0.00
172.67.57.223,4,3,0.25,177.24,0.00
104.19.10.129,4,3,0.25,177.26,0.00
104.27.51.100,4,3,0.25,177.27,0.00
104.20.29.238,4,3,0.25,177.40,0.00
104.25.207.24,4,3,0.25,177.45,0.00
104.27.71.32,4,3,0.25,177.57,0.00
172.65.143.131,4,3,0.25,177.60,0.00
104.24.37.223,4,3,0.25,177.63,0.00
172.65.0.42,4,3,0.25,177.66,0.00
104.27.69.136,4,3,0.25,177.69,0.00
104.20.212.13,4,3,0.25,177.73,0.00
104.24.14.144,4,3,0.25,177.74,0.00
172.67.54.165,4,3,0.25,177.79,0.00
172.65.2.31,4,3,0.25,177.83,0.00
172.65.127.110,4,3,0.25,177.87,0.00
104.19.68.46,4,3,0.25,177.90,0.00
104.24.189.56,4,3,0.25,177.94,0.00
104.25.38.153,4,3,0.25,177.94,0.00
172.67.48.18,4,3,0.25,177.97,0.00
104.24.202.24,4,3,0.25,177.98,0.00
104.20.25.254,4,3,0.25,178.02,0.00
104.20.179.180,4,3,0.25,178.11,0.00
172.67.51.96,4,3,0.25,178.11,0.00
104.20.20.120,4,3,0.25,178.22,0.00
104.27.4.136,4,3,0.25,178.26,0.00
104.24.249.145,4,3,0.25,178.37,0.00
104.20.208.69,4,3,0.25,178.45,0.00
104.24.192.56,4,3,0.25,178.46,0.00
104.24.180.13,4,3,0.25,178.49,0.00
104.21.209.30,4,3,0.25,178.51,0.00
104.20.78.173,4,3,0.25,178.52,0.00
104.25.183.167,4,3,0.25,178.52,0.00
104.17.225.107,4,3,0.25,178.53,0.00
172.66.212.1,4,3,0.25,178.53,0.00
104.20.17.168,4,3,0.25,178.61,0.00
104.27.100.49,4,3,0.25,178.73,0.00
104.24.36.49,4,3,0.25,178.77,0.00
104.25.171.136,4,3,0.25,178.78,0.00
104.25.175.148,4,3,0.25,178.78,0.00
104.20.31.132,4,3,0.25,178.81,0.00
172.65.111.195,4,3,0.25,178.82,0.00
104.25.201.199,4,3,0.25,178.85,0.00
104.25.169.245,4,3,0.25,178.85,0.00
104.25.78.121,4,3,0.25,178.87,0.00
172.67.56.63,4,3,0.25,178.89,0.00
104.24.163.163,4,3,0.25,178.91,0.00
172.65.130.182,4,3,0.25,178.94,0.00
104.24.172.207,4,3,0.25,178.94,0.00
172.66.192.43,4,3,0.25,178.94,0.00
104.27.95.182,4,3,0.25,178.96,0.00
104.24.30.221,4,3,0.25,178.96,0.00
172.65.5.69,4,3,0.25,178.96,0.00
104.27.20.66,4,3,0.25,178.97,0.00
104.19.8.242,4,3,0.25,178.98,0.00
172.65.121.132,4,3,0.25,178.98,0.00
104.20.28.83,4,3,0.25,179.08,0.00
104.27.88.84,4,3,0.25,179.14,0.00
104.19.0.122,4,3,0.25,179.16,0.00
172.65.144.253,4,3,0.25,179.23,0.00
172.65.120.203,4,3,0.25,179.26,0.00
104.20.118.109,4,3,0.25,179.28,0.00
104.19.89.117,4,3,0.25,179.29,0.00
172.65.229.79,4,3,0.25,179.31,0.00
104.27.36.64,4,3,0.25,179.31,0.00
104.20.97.239,4,3,0.25,179.33,0.00
104.25.189.169,4,3,0.25,179.35,0.00
104.24.204.62,4,3,0.25,179.45,0.00
104.20.2.194,4,3,0.25,179.53,0.00
104.24.45.85,4,3,0.25,179.54,0.00
104.24.13.37,4,3,0.25,179.59,0.00
172.67.55.155,4,3,0.25,179.60,0.00
104.19.20.68,4,3,0.25,179.62,0.00
104.27.30.232,4,3,0.25,179.66,0.00
104.16.93.187,4,3,0.25,179.69,0.00
104.24.46.185,4,3,0.25,179.73,0.00
172.67.63.210,4,3,0.25,179.78,0.00
172.65.150.167,4,3,0.25,179.79,0.00
104.25.198.216,4,3,0.25,179.83,0.00
104.20.240.31,4,3,0.25,179.84,0.00
172.65.149.209,4,3,0.25,179.85,0.00
172.65.115.185,4,3,0.25,179.86,0.00
104.25.180.139,4,3,0.25,179.91,0.00
172.65.123.210,4,3,0.25,179.95,0.00
172.67.46.150,4,3,0.25,179.99,0.00
104.24.40.175,4,3,0.25,180.01,0.00
104.24.181.102,4,3,0.25,180.02,0.00
172.65.134.191,4,3,0.25,180.06,0.00
104.19.16.47,4,3,0.25,180.10,0.00
104.24.196.112,4,3,0.25,180.10,0.00
104.19.95.42,4,3,0.25,180.11,0.00
104.20.197.94,4,3,0.25,180.17,0.00
104.20.27.23,4,3,0.25,180.21,0.00
104.25.237.26,4,3,0.25,180.21,0.00
104.24.35.88,4,3,0.25,180.23,0.00
104.21.2.21,4,3,0.25,180.23,0.00
104.25.109.167,4,3,0.25,180.29,0.00
172.65.118.106,4,3,0.25,180.31,0.00
172.65.28.230,4,3,0.25,180.36,0.00
172.67.17.31,4,3,0.25,180.39,0.00
104.24.205.176,4,3,0.25,180.39,0.00
104.24.79.11,4,3,0.25,180.40,0.00
104.20.133.192,4,3,0.25,180.46,0.00
104.20.205.13,4,3,0.25,180.48,0.00
104.25.37.66,4,3,0.25,180.49,0.00
172.65.131.232,4,3,0.25,180.50,0.00
104.25.193.43,4,3,0.25,180.55,0.00
104.21.58.179,4,3,0.25,180.56,0.00
104.24.139.34,4,3,0.25,180.57,0.00
172.65.230.154,4,3,0.25,180.57,0.00
104.25.167.66,4,3,0.25,180.59,0.00
104.25.165.114,4,3,0.25,180.59,0.00
172.67.52.83,4,3,0.25,180.60,0.00
104.24.174.95,4,3,0.25,180.61,0.00
104.20.178.119,4,3,0.25,180.63,0.00
104.25.36.60,4,3,0.25,180.64,0.00
104.22.30.181,4,3,0.25,180.64,0.00
104.25.215.222,4,3,0.25,180.66,0.00
104.19.15.52,4,3,0.25,180.70,0.00
104.19.87.238,4,3,0.25,180.71,0.00
172.65.16.223,4,3,0.25,180.72,0.00
104.25.153.243,4,3,0.25,180.73,0.00
172.65.60.209,4,3,0.25,180.73,0.00
172.65.195.192,4,3,0.25,180.76,0.00
104.20.210.176,4,3,0.25,180.77,0.00
104.27.82.71,4,3,0.25,180.79,0.00
104.25.181.173,4,3,0.25,180.79,0.00
104.20.196.61,4,3,0.25,180.79,0.00
104.24.49.180,4,3,0.25,180.81,0.00
104.25.55.181,4,3,0.25,180.82,0.00
104.23.127.196,4,3,0.25,180.82,0.00
172.65.200.181,4,3,0.25,180.83,0.00
104.20.195.22,4,3,0.25,180.83,0.00
104.20.26.207,4,3,0.25,180.83,0.00
104.19.104.26,4,3,0.25,180.94,0.00
104.24.52.145,4,3,0.25,180.95,0.00
172.65.227.190,4,3,0.25,180.96,0.00
104.27.117.136,4,3,0.25,180.96,0.00
104.20.75.241,4,3,0.25,181.00,0.00
104.24.190.240,4,3,0.25,181.00,0.00
104.27.75.109,4,3,0.25,181.01,0.00
104.20.109.16,4,3,0.25,181.04,0.00
104.25.159.64,4,3,0.25,181.06,0.00
172.65.133.107,4,3,0.25,181.07,0.00
172.66.199.33,4,3,0.25,181.07,0.00
104.24.199.155,4,3,0.25,181.09,0.00
104.19.126.179,4,3,0.25,181.09,0.00
104.25.101.127,4,3,0.25,181.11,0.00
104.16.118.137,4,3,0.25,181.12,0.00
104.24.166.239,4,3,0.25,181.13,0.00
104.23.105.33,4,3,0.25,181.14,0.00
172.66.211.189,4,3,0.25,181.14,0.00
172.67.20.29,4,3,0.25,181.16,0.00
104.25.184.50,4,3,0.25,181.21,0.00
104.25.176.97,4,3,0.25,181.26,0.00
172.67.58.113,4,3,0.25,181.27,0.00
104.19.201.210,4,3,0.25,181.29,0.00
104.21.115.235,4,3,0.25,181.29,0.00
104.20.200.32,4,3,0.25,181.29,0.00
104.19.13.240,4,3,0.25,181.31,0.00
172.67.61.178,4,3,0.25,181.32,0.00
172.65.65.236,4,3,0.25,181.33,0.00
172.67.59.116,4,3,0.25,181.35,0.00
172.65.27.209,4,3,0.25,181.37,0.00
104.25.185.201,4,3,0.25,181.41,0.00
172.65.138.42,4,3,0.25,181.44,0.00
104.24.90.126,4,3,0.25,181.44,0.00
104.20.249.109,4,3,0.25,181.47,0.00
104.19.12.227,4,3,0.25,181.49,0.00
104.25.59.243,4,3,0.25,181.50,0.00
172.65.99.68,4,3,0.25,181.51,0.00
104.25.34.191,4,3,0.25,181.52,0.00
172.65.124.31,4,3,0.25,181.54,0.00
104.23.102.111,4,3,0.25,181.55,0.00
104.20.184.141,4,3,0.25,181.57,0.00
172.66.198.27,4,3,0.25,181.58,0.00
104.25.197.125,4,3,0.25,181.60,0.00
104.20.190.11,4,3,0.25,181.63,0.00
104.25.170.187,4,3,0.25,181.66,0.00
104.21.114.207,4,3,0.25,181.69,0.00
104.19.1.105,4,3,0.25,181.70,0.00
104.19.192.193,4,3,0.25,181.72,0.00
162.159.58.158,4,3,0.25,181.74,0.00
104.25.83.180,4,3,0.25,181.80,0.00
104.24.201.1,4,3,0.25,181.81,0.00
104.27.102.11,4,3,0.25,181.91,0.00
104.20.16.169,4,3,0.25,181.93,0.00
104.20.199.52,4,3,0.25,181.97,0.00
104.25.29.15,4,3,0.25,181.98,0.00
104.19.2.143,4,3,0.25,181.99,0.00
172.65.78.97,4,3,0.25,182.00,0.00
104.24.194.165,4,3,0.25,182.01,0.00
104.24.39.158,4,3,0.25,182.01,0.00
104.25.172.113,4,3,0.25,182.04,0.00
172.65.139.145,4,3,0.25,182.04,0.00
104.21.57.210,4,3,0.25,182.04,0.00
104.21.40.157,4,3,0.25,182.06,0.00
104.27.89.22,4,3,0.25,182.06,0.00
104.21.15.166,4,3,0.25,182.07,0.00
104.20.132.97,4,3,0.25,182.07,0.00
104.24.8.15,4,3,0.25,182.09,0.00
172.65.15.71,4,3,0.25,182.13,0.00
104.27.86.133,4,3,0.25,182.16,0.00
104.19.195.170,4,3,0.25,182.18,0.00
104.25.179.2,4,3,0.25,182.22,0.00
104.25.177.105,4,3,0.25,182.24,0.00
104.24.203.248,4,3,0.25,182.33,0.00
104.25.182.174,4,3,0.25,182.39,0.00
172.65.224.83,4,3,0.25,182.40,0.00
104.19.66.24,4,3,0.25,182.44,0.00
104.19.121.173,4,3,0.25,182.47,0.00
172.65.203.159,4,3,0.25,182.50,0.00
172.67.81.149,4,3,0.25,182.50,0.00
172.65.11.44,4,3,0.25,182.54,0.00
172.66.196.233,4,3,0.25,182.63,0.00
172.66.149.132,4,3,0.25,182.63,0.00
172.65.148.138,4,3,0.25,182.64,0.00
104.19.198.185,4,3,0.25,182.66,0.00
104.21.14.248,4,3,0.25,182.68,0.00
104.20.13.6,4,3,0.25,182.73,0.00
104.25.97.34,4,3,0.25,182.77,0.00
104.18.212.165,4,3,0.25,182.78,0.00
104.20.255.55,4,3,0.25,182.81,0.00
104.24.144.83,4,3,0.25,182.84,0.00
104.27.70.149,4,3,0.25,182.86,0.00
172.65.145.125,4,3,0.25,182.87,0.00
172.65.147.152,4,3,0.25,182.90,0.00
104.21.232.93,4,3,0.25,182.92,0.00
104.27.99.30,4,3,0.25,182.93,0.00
104.27.119.82,4,3,0.25,182.93,0.00
172.64.150.182,4,3,0.25,183.00,0.00
104.27.13.189,4,3,0.25,183.05,0.00
104.25.205.151,4,3,0.25,183.07,0.00
104.27.92.74,4,3,0.25,183.07,0.00
104.20.161.98,4,3,0.25,183.11,0.00
104.19.123.114,4,3,0.25,183.13,0.00
104.20.247.213,4,3,0.25,183.14,0.00
172.64.94.195,4,3,0.25,183.16,0.00
104.23.106.43,4,3,0.25,183.24,0.00
104.25.39.111,4,3,0.25,183.24,0.00
172.65.119.6,4,3,0.25,183.25,0.00
104.19.194.33,4,3,0.25,183.25,0.00
104.24.188.67,4,3,0.25,183.28,0.00
172.65.122.152,4,3,0.25,183.28,0.00
104.25.12.88,4,3,0.25,183.36,0.00
172.65.1.27,4,3,0.25,183.38,0.00
172.65.7.85,4,3,0.25,183.38,0.00
172.65.146.41,4,3,0.25,183.49,0.00
172.67.189.126,4,3,0.25,183.49,0.00
104.25.106.14,4,3,0.25,183.49,0.00
104.25.204.116,4,3,0.25,183.49,0.00
104.27.104.131,4,3,0.25,183.50,0.00
104.24.0.143,4,3,0.25,183.52,0.00
104.21.126.168,4,3,0.25,183.52,0.00
104.27.115.170,4,3,0.25,183.52,0.00
172.65.205.47,4,3,0.25,183.52,0.00
172.64.151.93,4,3,0.25,183.61,0.00
104.25.203.83,4,3,0.25,183.67,0.00
104.24.208.147,4,3,0.25,183.71,0.00
104.24.146.55,4,3,0.25,183.72,0.00
104.19.3.208,4,3,0.25,183.75,0.00
104.25.213.1,4,3,0.25,183.77,0.00
104.17.95.201,4,3,0.25,183.78,0.00
104.19.101.110,4,3,0.25,183.90,0.00
104.19.199.246,4,3,0.25,183.94,0.00
104.25.33.23,4,3,0.25,183.96,0.00
104.27.94.155,4,3,0.25,183.99,0.00
104.21.221.105,4,3,0.25,184.05,0.00
104.25.206.132,4,3,0.25,184.08,0.00
104.21.113.234,4,3,0.25,184.08,0.00
104.20.164.91,4,3,0.25,184.11,0.00
104.19.197.235,4,3,0.25,184.12,0.00
104.20.14.61,4,3,0.25,184.18,0.00
104.25.168.223,4,3,0.25,184.19,0.00
104.21.49.41,4,3,0.25,184.20,0.00
172.67.47.154,4,3,0.25,184.23,0.00
104.25.53.44,4,3,0.25,184.26,0.00
172.65.140.204,4,3,0.25,184.28,0.00
104.27.84.69,4,3,0.25,184.33,0.00
104.20.40.111,4,3,0.25,184.43,0.00
104.20.192.12,4,3,0.25,184.44,0.00
104.24.33.125,4,3,0.25,184.44,0.00
104.21.120.167,4,3,0.25,184.45,0.00
104.16.88.248,4,3,0.25,184.45,0.00
104.25.199.135,4,3,0.25,184.47,0.00
172.65.23.156,4,3,0.25,184.50,0.00
104.16.127.35,4,3,0.25,184.60,0.00
104.24.48.108,4,3,0.25,184.63,0.00
104.24.243.244,4,3,0.25,184.63,0.00
172.67.60.206,4,3,0.25,184.67,0.00
104.24.191.135,4,3,0.25,184.80,0.00
172.65.228.115,4,3,0.25,184.81,0.00
104.23.97.216,4,3,0.25,184.83,0.00
172.65.192.125,4,3,0.25,184.83,0.00
141.101.113.59,4,3,0.25,184.98,0.00
104.24.50.236,4,3,0.25,185.01,0.00
104.19.92.112,4,3,0.25,185.01,0.00
172.65.3.155,4,3,0.25,185.02,0.00
104.20.22.117,4,3,0.25,185.06,0.00
172.65.54.228,4,3,0.25,185.09,0.00
104.25.94.236,4,3,0.25,185.09,0.00
172.67.49.209,4,3,0.25,185.15,0.00
172.65.231.173,4,3,0.25,185.16,0.00
162.159.25.22,4,3,0.25,185.25,0.00
